"dates2","comp4.ISO","comp4.applicant_full_name"
1982,"USA","WYETH PHARMACEUTICALS INC"
1982,"GBR","GLAXOSMITHKLINE"
1982,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1982,"USA","WARNER CHILCOTT INC"
1982,"CAN","VALEANT INTERNATIONAL BARBADOS SRL"
1982,"DEU","MERCK AND CO INC"
1982,"CAN","VALEANT PHARMACEUTICALS INTERNATIONAL"
1982,"USA","MCNEIL CONSUMER HEALTHCARE"
1982,"DEU","FRESENIUS KABI USA LLC"
1982,"DEU","FRESENIUS KABI USA LLC"
1982,"ITA","RECORDATI RARE DISEASES INC"
1982,"CAN","VALEANT PHARMACEUTICALS NORTH AMERICA"
1982,"CAN","VALEANT PHARMACEUTICALS NORTH AMERICA"
1982,"CHE","NOVARTIS PHARMACEUTICALS CORP"
1982,"CHE","SANDOZ CANADA INC"
1982,"CHE","SANDOZ INC"
1982,"GBR","GLAXOSMITHKLINE"
1982,"ITA","BRACCO DIAGNOSTICS INC"
1982,"DEU","FRESENIUS KABI USA LLC"
1982,"USA","MCNEIL CONSUMER HEALTHCARE"
1982,"CAN","VALEANT PHARMACEUTICALS INTERNATIONAL"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"ITA","BRACCO DIAGNOSTICS INC"
1982,"ITA","BRACCO DIAGNOSTICS INC"
1982,"ITA","BRACCO DIAGNOSTICS INC"
1982,"ITA","BRACCO DIAGNOSTICS INC"
1982,"USA","WYETH PHARMACEUTICALS INC"
1982,"DEU","FRESENIUS KABI USA LLC"
1982,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"CAN","VALEANT PHARMACEUTICALS INTERNATIONAL"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"USA","MALLINCKRODT MEDICAL INC"
1982,"USA","MALLINCKRODT MEDICAL INC"
1982,"USA","BAXTER HEALTHCARE CORP ANESTHESIA AND CRITICAL CARE"
1982,"DEU","MERCK SHARP AND DOHME CORP"
1982,"CHE","NOVARTIS PHARMACEUTICALS CORP"
1982,"USA","BAXTER HEALTHCARE CORP ANESTHESIA CRITICAL CARE"
1982,"CHE","SANDOZ CANADA INC"
1982,"USA","BAXTER HEALTHCARE CORP"
1982,"USA","BAXTER HEALTHCARE CORP"
1982,"USA","BAXTER HEALTHCARE CORP"
1982,"DEU","FRESENIUS KABI USA LLC"
1982,"USA","PFIZER INC"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"USA","MALLINCKRODT MEDICAL INC"
1982,"SWE","FERRING PHARMACEUTICALS INC"
1982,"DEU","FRESENIUS KABI USA LLC"
1982,"DEU","FRESENIUS KABI USA LLC"
1982,"USA","MALLINCKRODT MEDICAL INC"
1982,"USA","WATSON LABORATORIES INC"
1982,"USA","BAXTER HEALTHCARE CORP"
1982,"USA","BAXTER HEALTHCARE CORP"
1982,"USA","WATSON LABORATORIES INC"
1982,"USA","BAXTER HEALTHCARE CORP"
1982,"USA","BAXTER HEALTHCARE CORP"
1982,"USA","BAXTER HEALTHCARE CORP"
1982,"USA","BAXTER HEALTHCARE CORP"
1982,"USA","BAXTER HEALTHCARE CORP"
1982,"USA","BAXTER HEALTHCARE CORP"
1982,"DEU","BAYER HEALTHCARE PHARMACEUTICALS INC"
1982,"DEU","FRESENIUS KABI DEUTSCHLAND GMBH"
1982,"USA","ORGANON USA INC"
1982,"ITA","BRACCO DIAGNOSTICS INC"
1982,"USA","BAXTER HEALTHCARE CORP ANESTHESIA CRITICAL CARE"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"IND","JUBILANT DRAXIMAGE INC"
1982,"USA","BAXTER HEALTHCARE CORP ANESTHESIA CRITICAL CARE"
1982,"USA","MALLINCKRODT MEDICAL INC"
1982,"USA","BAXTER HEALTHCARE CORP ANESTHESIA CRITICAL CARE"
1982,"DEU","FRESENIUS KABI USA LLC"
1982,"USA","MALLINCKRODT MEDICAL INC"
1982,"USA","PFIZER INC"
1982,"USA","PFIZER INC"
1982,"GBR","RECKITT BENCKISER PHARMACEUTICALS INC"
1982,"DEU","FRESENIUS KABI DEUTSCHLAND GMBH"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"GBR","GLAXOSMITHKLINE"
1982,"USA","BAXTER HEALTHCARE CORP"
1982,"USA","BAXTER HEALTHCARE CORP"
1982,"USA","ELI LILLY AND CO"
1982,"USA","ELI LILLY AND CO"
1982,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"USA","PFIZER INC"
1982,"USA","BRISTOL MYERS SQUIBB CO PHARMACEUTICAL RESEARCH INSTITUTE"
1982,"GBR","GLAXOSMITHKLINE"
1982,"FRA","SANOFI AVENTIS US LLC"
1982,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1982,"ISR","TEVA PHARMACEUTICALS USA"
1982,"ITA","RECORDATI RARE DISEASES INC"
1982,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1982,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1982,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1982,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"CHE","SANDOZ INC"
1982,"CHE","SANDOZ INC"
1982,"CHE","SANDOZ INC"
1982,"USA","BRISTOL MYERS CO"
1982,"DEU","FRESENIUS KABI USA LLC"
1982,"DEU","FRESENIUS KABI USA LLC"
1982,"USA","WATSON LABORATORIES INC"
1982,"DEU","FRESENIUS KABI USA LLC"
1982,"DEU","FRESENIUS KABI USA LLC"
1982,"DEU","FRESENIUS KABI USA LLC"
1982,"USA","WATSON LABORATORIES INC"
1982,"USA","WATSON LABORATORIES INC"
1982,"DEU","FRESENIUS KABI USA LLC"
1982,"DEU","FRESENIUS KABI USA LLC"
1982,"DEU","LUITPOLD PHARMACEUTICALS INC"
1982,"USA","WATSON LABORATORIES INC"
1982,"USA","WATSON LABORATORIES INC"
1982,"USA","WATSON LABORATORIES INC"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"USA","WATSON LABORATORIES INC"
1982,"DEU","LUITPOLD PHARMACEUTICALS INC"
1982,"USA","BAXTER HEALTHCARE CORP"
1982,"USA","BAXTER HEALTHCARE CORP"
1982,"USA","BAXTER HEALTHCARE CORP"
1982,"CAN","VALEANT PHARMACEUTICALS INTERNATIONAL"
1982,"CAN","VALEANT INTERNATIONAL BARBADOS SRL"
1982,"CAN","VALEANT INTERNATIONAL BARBADOS SRL"
1982,"CAN","VALEANT INTERNATIONAL BERMUDA"
1982,"USA","ALCON LABORATORIES INC"
1982,"DEU","ALTANA INC"
1982,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1982,"USA","ALCON LABORATORIES INC"
1982,"USA","BRISTOL MYERS CO"
1982,"USA","BRISTOL MYERS SQUIBB CO"
1982,"DEU","FRESENIUS KABI USA LLC"
1982,"DEU","FRESENIUS KABI USA LLC"
1982,"ITA","BRACCO DIAGNOSTICS INC"
1982,"ITA","BRACCO DIAGNOSTICS INC"
1982,"USA","MALLINCKRODT MEDICAL INC"
1982,"CAN","VALEANT PHARMACEUTICALS INTERNATIONAL"
1982,"CAN","VALEANT INTERNATIONAL BARBADOS SRL"
1982,"USA","ALCON LABORATORIES INC"
1982,"DEU","BAYER HEALTHCARE PHARMACEUTICALS INC"
1982,"USA","ALCON LABORATORIES INC"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"USA","ALLERGAN PHARMACEUTICAL"
1982,"USA","ALLERGAN PHARMACEUTICAL"
1982,"USA","ALCON LABORATORIES INC"
1982,"USA","ALLERGAN PHARMACEUTICAL"
1982,"USA","ALCON LABORATORIES INC"
1982,"USA","ALLERGAN"
1982,"USA","ALLERGAN"
1982,"USA","ALLERGAN INC"
1982,"USA","ALCON LABORATORIES INC"
1982,"USA","ALCON LABORATORIES INC"
1982,"USA","ALCON LABORATORIES INC"
1982,"USA","ALCON LABORATORIES INC"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"USA","PARKE DAVIS DIV WARNER LAMBERT CO"
1982,"JPN","SHIONOGI INC"
1982,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1982,"USA","ALLERGAN PHARMACEUTICAL"
1982,"ISR","TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D INC"
1982,"IND","GLENMARK GENERICS INC USA"
1982,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1982,"USA","ALCON LABORATORIES INC"
1982,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1982,"CAN","VALEANT PHARMACEUTICALS NORTH AMERICA LLC"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"GBR","RECKITT BENCKISER LLC"
1982,"USA","ALCON LABORATORIES INC"
1982,"USA","ALLERGAN PHARMACEUTICAL"
1982,"USA","ALLERGAN PHARMACEUTICAL"
1982,"USA","ALLERGAN PHARMACEUTICAL"
1982,"USA","ALLERGAN PHARMACEUTICAL"
1982,"FRA","SANOFI AVENTIS US LLC"
1982,"GBR","GLAXOSMITHKLINE"
1982,"DEU","MERCK SHARP AND DOHME CORP"
1982,"CAN","VALEANT PHARMACEUTICALS INTERNATIONAL"
1982,"USA","ABBVIE INC"
1982,"USA","PARKE DAVIS PHARMACEUTICAL RESEARCH DIV WARNER LAMBERT CO"
1982,"USA","WYETH PHARMACEUTICALS INC"
1982,"FRA","SANOFI AVENTIS US LLC"
1982,"ITA","RECORDATI RARE DISEASES INC"
1982,"USA","ABBVIE INC"
1982,"FRA","SANOFI AVENTIS US LLC"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"FRA","SANOFI AVENTIS US LLC"
1982,"CHE","SANDOZ INC"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"USA","SHIRE DEVELOPMENT INC"
1982,"ISR","TEVA PHARMACEUTICALS USA INC"
1982,"CHE","NOVARTIS PHARMACEUTICALS CORP"
1982,"CAN","VALEANT PHARMACEUTICALS INTERNATIONAL"
1982,"USA","BRISTOL MYERS SQUIBB PHARMA CO"
1982,"FRA","SANOFI AVENTIS US LLC"
1982,"CAN","VALEANT PHARMACEUTICALS NORTH AMERICA LLC"
1982,"CHE","SANDOZ INC"
1982,"CAN","VALEANT PHARMACEUTICALS NORTH AMERICA"
1982,"FRA","SANOFI AVENTIS US LLC"
1982,"CHE","NOVARTIS PHARMACEUTICALS CORP"
1982,"USA","TARGACEPT INC"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"FRA","SANOFI AVENTIS US LLC"
1982,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1982,"ITA","RECORDATI RARE DISEASES INC"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"GBR","GLAXOSMITHKLINE"
1982,"CHE","NOVARTIS PHARMACEUTICALS CORP"
1982,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1982,"USA","WATSON PHARMACEUTICALS"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"USA","PARKE DAVIS DIV WARNER LAMBERT CO"
1982,"USA","SHIRE DEVELOPMENT LLC"
1982,"USA","ABBVIE INC"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"USA","ABBVIE INC"
1982,"JPN","SHIONOGI INC"
1982,"JPN","SHIONOGI INC"
1982,"USA","PFIZER INC"
1982,"USA","WYETH PHARMACEUTICALS INC"
1982,"USA","WATSON LABORATORIES INC"
1982,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1982,"FRA","SANOFI AVENTIS US LLC"
1982,"FRA","SANOFI AVENTIS US LLC"
1982,"GBR","GLAXOSMITHKLINE"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"FRA","SANOFI AVENTIS US LLC"
1982,"FRA","SANOFI AVENTIS US LLC"
1982,"USA","WYETH PHARMACEUTICALS INC"
1982,"CHE","NOVARTIS PHARMACEUTICALS CORP"
1982,"USA","FOREST LABORATORIES INC"
1982,"USA","BRISTOL MYERS SQUIBB"
1982,"CAN","VALEANT PHARMACEUTICALS INTERNATIONAL"
1982,"USA","BRISTOL MYERS SQUIBB"
1982,"USA","WATSON LABORATORIES INC"
1982,"ITA","RECORDATI RARE DISEASES INC"
1982,"ITA","RECORDATI RARE DISEASES INC"
1982,"USA","WARNER CHILCOTT INC"
1982,"USA","WARNER CHILCOTT CO LLC"
1982,"BEL","UCB INC"
1982,"DEU","BOEHRINGER INGELHEIM"
1982,"DEU","MERCK SHARP AND DOHME CORP"
1982,"USA","WATSON LABORATORIES INC"
1982,"USA","WARNER CHILCOTT CO LLC"
1982,"CHE","ROCHE PALO ALTO LLC"
1982,"FRA","SANOFI AVENTIS US LLC"
1982,"CAN","VALEANT PHARMACEUTICALS INTERNATIONAL"
1982,"CAN","VALEANT INTERNATIONAL BARBADOS SRL"
1982,"USA","PROCTER AND GAMBLE PHARMACEUTICALS INC SUB PROCTER AND GAMBLE CO"
1982,"USA","WARNER CHILCOTT CO LLC"
1982,"USA","WARNER CHILCOTT CO LLC"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"DEU","MERCK RESEARCH LABORATORIES DIV MERCK CO INC"
1982,"CHE","NOVARTIS PHARMACEUTICALS CORP"
1982,"USA","WYETH PHARMACEUTICALS INC"
1982,"CHE","NOVARTIS PHARMACEUTICALS CORP"
1982,"GBR","ASTRAZENECA LP"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"CHE","NOVARTIS PHARMACEUTICALS CORP"
1982,"FRA","SANOFI AVENTIS US LLC"
1982,"DEU","BAYER HEALTHCARE PHARMACEUTICALS INC"
1982,"FRA","SANOFI AVENTIS US LLC"
1982,"ISR","TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D INC"
1982,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1982,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1982,"ISR","TEVA PHARMACEUTICALS USA INC"
1982,"USA","ELORAC INC"
1982,"USA","WATSON LABORATORIES INC"
1982,"CHE","SANDOZ INC"
1982,"USA","WATSON LABORATORIES"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"USA","WATSON LABORATORIES INC"
1982,"USA","SHIRE DEVELOPMENT INC"
1982,"CHE","SANDOZ INC"
1982,"USA","WATSON LABORATORIES INC"
1982,"CHE","SANDOZ INC"
1982,"USA","WATSON LABORATORIES INC"
1982,"USA","BRISTOL MYERS SQUIBB CO PHARMACEUTICAL RESEARCH INSTITUTE"
1982,"ISR","TEVA PHARMACEUTICALS USA INC"
1982,"CAN","VALEANT PHARMACEUTICALS INTERNATIONAL"
1982,"CHE","SANDOZ INC"
1982,"USA","WATSON LABORATORIES INC"
1982,"CAN","VALEANT PHARMACEUTICALS INTERNATIONAL"
1982,"DEU","MERCK SHARP AND DOHME CORP"
1982,"CHE","NOVARTIS PHARMACEUTICALS CORP"
1982,"USA","PFIZER PHARMACEUTICALS LTD"
1982,"DEU","SCHERING PLOUGH HEALTHCARE PRODUCTS INC"
1982,"CAN","VALEANT PHARMACEUTICALS NORTH AMERICA LLC"
1982,"USA","WATSON PHARMACEUTICALS"
1982,"DEU","SCHERING PLOUGH HEALTHCARE PRODUCTS INC"
1982,"DEU","SCHERING PLOUGH HEALTHCARE PRODUCTS INC"
1982,"USA","WARNER CHILCOTT CO LLC"
1982,"USA","WATSON PHARMACEUTICALS INC"
1983,"CHE","SANDOZ INC"
1983,"ISR","TEVA PHARMACEUTICALS USA INC"
1983,"DEU","LUITPOLD PHARMACEUTICALS INC"
1983,"FRA","SANOFI AVENTIS US LLC"
1983,"JPN","ASTELLAS PHARMA US INC"
1983,"CHE","NOVARTIS PHARMACEUTICALS CORP"
1983,"DEU","FRESENIUS KABI USA LLC"
1983,"DEU","FRESENIUS KABI USA LLC"
1983,"USA","WATSON LABORATORIES INC"
1983,"USA","WATSON LABORATORIES INC"
1983,"DEU","MERCK SHARP AND DOHME CORP"
1983,"DEU","BOEHRINGER INGELHEIM PHARMACEUTICALS INC"
1983,"CHE","NOVARTIS PHARMACEUTICALS CORP"
1983,"FRA","SANOFI AVENTIS US LLC"
1983,"USA","ABBVIE INC"
1983,"CHE","SANDOZ INC"
1983,"CHE","SANDOZ INC"
1983,"FRA","SANOFI AVENTIS US LLC"
1983,"USA","PHARMACIA AND UPJOHN CO"
1983,"USA","ABBVIE INC"
1983,"USA","WARNER CHILCOTT CO LLC"
1983,"DEU","BAYER HEALTHCARE PHARMACEUTICALS INC"
1984,"CHE","ROCHE PALO ALTO LLC"
1984,"DEU","MERCK SHARP AND DOHME CORP"
1984,"USA","WARNER CHILCOTT US LLC"
1984,"DEU","BOEHRINGER INGELHEIM"
1984,"USA","ALCON LABORATORIES INC"
1984,"CAN","VALEANT INTERNATIONAL SRL"
1984,"USA","BAXTER HEALTHCARE CORP"
1984,"CHE","NOVARTIS PHARMACEUTICALS CORP"
1984,"FRA","SANOFI AVENTIS US LLC"
1984,"DEU","FRESENIUS KABI USA LLC"
1984,"CHE","SANDOZ INC"
1984,"CHE","SANDOZ INC"
1984,"USA","WATSON LABORATORIES INC"
1984,"ISR","TEVA WOMENS HEALTH INC"
1984,"USA","ALLERGAN INC"
1984,"CAN","VALEANT PHARMACEUTICALS LUXEMBOURG SARL"
1984,"ISR","TEVA PHARMACEUTICALS USA INC"
1984,"USA","PHARMACIA AND UPJOHN CO"
1984,"FRA","SANOFI AVENTIS US LLC"
1984,"USA","PFIZER INC"
1984,"GBR","ASTRAZENECA PHARMACEUTICALS LP"
1984,"ISR","TEVA WOMENS HEALTH INC"
1984,"USA","WATSON LABORATORIES INC"
1984,"ISR","TEVA PHARMACEUTICALS USA INC"
1984,"USA","MALLINCKRODT INC"
1984,"CHE","SANDOZ INC"
1984,"USA","WATSON PHARMACEUTICALS INC"
1984,"FRA","SANOFI AVENTIS US LLC"
1985,"USA","ABBVIE INC"
1985,"GBR","GLAXOSMITHKLINE"
1985,"CAN","VALEANT PHARMACEUTICALS INTERNATIONAL"
1985,"CAN","VALEANT PHARMACEUTICALS INTERNATIONAL"
1985,"USA","PHARMACIA AND UPJOHN CO"
1985,"USA","BAXTER HEALTHCARE CORP"
1985,"USA","BAXTER HEALTHCARE CORP"
1985,"USA","BAXTER HEALTHCARE CORP"
1985,"USA","BAXTER HEALTHCARE CORP"
1985,"USA","BAXTER HEALTHCARE CORP"
1985,"USA","BAXTER HEALTHCARE CORP"
1985,"USA","BAXTER HEALTHCARE CORP"
1985,"ITA","BRACCO DIAGNOSTICS INC"
1985,"ITA","BRACCO DIAGNOSTICS INC"
1985,"ITA","BRACCO DIAGNOSTICS INC"
1985,"ITA","BRACCO DIAGNOSTICS INC"
1985,"ITA","RECORDATI RARE DISEASES INC"
1985,"USA","ABBVIE ENDOCRINE INC"
1985,"DEU","MERCK AND CO INC"
1985,"GBR","GLAXOSMITHKLINE"
1985,"FRA","SANOFI AVENTIS US LLC"
1985,"DEU","LUITPOLD PHARMACEUTICALS INC"
1985,"DEU","FRESENIUS KABI USA LLC"
1985,"USA","ALLERGAN PHARMACEUTICAL"
1985,"USA","DOW PHARMACEUTICAL SCIENCES"
1985,"USA","ALLERGAN PHARMACEUTICAL"
1985,"USA","ALCON LABORATORIES INC"
1985,"USA","ALCON PHARMACEUTICALS LTD"
1985,"USA","MCNEIL CONSUMER HEALTHCARE DIV MCNEIL PPC INC"
1985,"GBR","GLAXOSMITHKLINE"
1985,"ITA","SIGMA TAU PHARMACEUTICALS INC"
1985,"USA","WYETH PHARMACEUTICALS INC"
1985,"CAN","VALEANT INTERNATIONAL BARBADOS SRL"
1985,"CAN","VALEANT PHARMACEUTICALS INTERNATIONAL"
1985,"ISR","TEVA PHARMACEUTICALS USA INC"
1986,"USA","WATSON LABORATORIES INC"
1986,"USA","PFIZER INC"
1986,"CHE","NOVARTIS PHARMACEUTICALS CORP"
1986,"USA","DOW PHARMACEUTICAL SCIENCES"
1986,"CHE","NOVARTIS PHARMACEUTICALS CORP"
1986,"USA","PHARMACIA AND UPJOHN CO"
1986,"DEU","FRESENIUS KABI USA LLC"
1986,"DEU","FRESENIUS KABI USA LLC"
1986,"USA","ABBVIE INC"
1986,"USA","PHARMACIA AND UPJOHN CO"
1986,"DEU","FRESENIUS KABI USA LLC"
1986,"DEU","MERCK RESEARCH LABORATORIES DIV MERCK CO INC"
1986,"DEU","MERCK RESEARCH LABORATORIES DIV MERCK CO INC"
1986,"USA","BRISTOL MYERS SQUIBB"
1986,"USA","PFIZER INC"
1986,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1986,"CHE","SANDOZ INC"
1986,"DEU","FRESENIUS KABI USA LLC"
1986,"USA","ALLERGAN PHARMACEUTICAL"
1986,"DEU","BOEHRINGER INGELHEIM PHARMACEUTICALS INC"
1986,"USA","3M CO"
1986,"ITA","SIGMA TAU PHARMACEUTICALS INC"
1986,"USA","ALCON PHARMACEUTICALS LTD"
1986,"USA","ALLERGAN PHARMACEUTICAL"
1986,"USA","ALCON LABORATORIES INC"
1986,"GBR","GLAXOSMITHKLINE"
1986,"USA","PFIZER PHARMACEUTICALS LTD"
1986,"CAN","VALEANT INTERNATIONAL BARBADOS SRL"
1986,"CAN","VALEANT INTERNATIONAL BARBADOS SRL"
1986,"DEU","MERCK RESEARCH LABORATORIES DIV MERCK CO INC"
1986,"CHE","SANDOZ INC"
1986,"CHE","SANDOZ INC"
1986,"USA","PFIZER INC"
1986,"DEU","MERCK INC"
1987,"USA","WATSON PHARMACEUTICALS INC"
1987,"DEU","MERCK SHARP AND DOHME CORP"
1987,"DEU","MERCK SHARP AND DOHME CORP"
1987,"USA","PHARMACIA AND UPJOHN CO"
1987,"ITA","BRACCO DIAGNOSTICS INC"
1987,"ITA","BRACCO DIAGNOSTICS INC"
1987,"FRA","SANOFI AVENTIS US LLC"
1987,"USA","BAXTER HEALTHCARE CORP"
1987,"USA","ELI LILLY AND CO"
1987,"GBR","GLAXOSMITHKLINE"
1987,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1987,"DEU","FRESENIUS KABI USA LLC"
1987,"DEU","FRESENIUS KABI USA LLC"
1987,"DEU","LUITPOLD PHARMACEUTICALS INC"
1987,"DEU","LUITPOLD PHARMACEUTICALS INC"
1987,"DEU","FRESENIUS KABI USA LLC"
1987,"DEU","FRESENIUS KABI USA LLC"
1987,"DEU","FRESENIUS KABI USA LLC"
1987,"DEU","MERCK SHARP AND DOHME CORP"
1987,"GBR","GLAXOSMITHKLINE"
1987,"USA","ALCON LABORATORIES INC"
1987,"GBR","GLAXOSMITHKLINE"
1987,"CHE","NOVARTIS PHARMACEUTICALS CORP"
1987,"CHE","ROCHE PALO ALTO LLC"
1987,"BEL","UCB INC"
1987,"DEU","BOEHRINGER INGELHEIM PHARMACEUTICALS INC"
1987,"USA","ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV"
1987,"DEU","BAYER HEALTHCARE PHARMACEUTICALS INC"
1987,"GBR","GLAXOSMITHKLINE"
1987,"ISR","TEVA PHARMACEUTICALS USA"
1987,"ISR","TEVA PHARMACEUTICALS USA INC"
1987,"USA","WATSON LABORATORIES INC"
1987,"USA","WATSON LABORATORIES INC"
1987,"CHE","SANDOZ INC"
1987,"DEU","SCHERING PLOUGH HEALTHCARE PRODUCTS INC"
1988,"DEU","BAYER PHARMACEUTICALS CORP"
1988,"USA","PHARMACIA AND UPJOHN CO"
1988,"CHE","SANDOZ INC"
1988,"ISR","TEVA PHARMACEUTICALS USA"
1988,"CAN","VALEANT INTERNATIONAL BERMUDA"
1988,"DEU","BAYER HEALTHCARE PHARMACEUTICALS INC"
1988,"CHE","NOVARTIS PHARMACEUTICALS CORP"
1988,"USA","MALLINCKRODT MEDICAL INC"
1988,"USA","MALLINCKRODT MEDICAL INC"
1988,"USA","MALLINCKRODT MEDICAL INC"
1988,"USA","BAXTER HEALTHCARE CORP"
1988,"USA","BRISTOL MYERS CO"
1988,"DEU","FRESENIUS KABI USA LLC"
1988,"DEU","LUITPOLD PHARMACEUTICALS INC"
1988,"USA","BAXTER HEALTHCARE CORP"
1988,"DEU","MERCK SHARP AND DOHME CORP"
1988,"USA","ALCON LABORATORIES INC"
1988,"USA","MCNEIL CONSUMER HEALTHCARE"
1988,"CHE","NOVARTIS PHARMACEUTICALS CORP"
