CountryName,CountryCode,IndicatorName,IndicatorCode,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Bosnia and Herzegovina,BIH,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,9.37,11.63,8.11,8.00,8.90,7.14,7.24,7.07,7.99,9.04,8.71,8.52,8.58,8.79,9.87,9.80,9.92,9.89
Belarus,BLR,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.74,6.24,6.59,5.96,6.16,6.13,6.62,6.47,6.59,6.59,6.89,6.34,6.44,5.95,6.09,5.55,4.92,5.04
Belize,BLZ,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.25,3.63,3.92,3.80,3.67,3.98,4.50,4.38,4.54,4.40,4.45,4.41,4.81,5.10,5.77,5.84,5.76,5.81
Bolivia,BOL,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.47,4.63,4.42,5.10,6.20,6.08,6.31,6.53,5.57,5.34,5.58,4.80,4.70,4.93,5.76,5.47,4.98,5.77
Brazil,BRA,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.65,6.85,6.81,6.74,7.09,7.16,7.27,7.19,7.03,7.13,8.17,8.48,8.47,8.28,8.75,9.01,8.90,9.31
Barbados,BRB,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.34,6.16,5.94,5.93,6.11,6.28,6.67,7.37,7.06,7.10,6.96,7.12,7.52,7.53,7.96,6.67,7.15,6.29
Brunei Darussalam,BRN,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,2.95,3.71,3.72,4.43,4.09,3.00,3.18,3.12,3.10,3.01,2.59,2.22,2.30,2.21,2.82,2.73,2.23,2.28
Bhutan,BTN,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.84,6.16,7.16,7.04,6.74,6.72,6.19,7.88,5.06,4.41,4.35,4.40,5.01,5.24,4.59,4.08,3.73,3.77
Botswana,BWA,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.17,4.16,4.42,3.97,3.85,4.74,5.17,5.72,4.31,4.94,5.62,4.93,4.71,5.34,6.14,5.64,5.25,5.31
Central African Republic,CAF,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.87,3.77,3.67,3.49,3.93,4.29,3.99,4.21,4.37,4.14,4.36,4.04,4.32,4.31,3.58,3.87,3.88,3.76
Canada,CAN,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,9.03,8.82,8.79,9.04,8.90,8.84,9.32,9.60,9.78,9.81,9.83,9.96,10.03,10.25,11.40,11.37,10.92,10.93
Switzerland,CHE,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,9.33,9.72,9.67,9.85,10.00,9.91,10.28,10.61,10.93,10.96,10.86,10.39,10.21,10.29,11.00,10.88,11.01,11.30
Chile,CHL,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.48,6.98,6.97,7.51,7.68,7.67,7.66,7.50,7.08,6.71,6.57,6.21,6.37,6.83,7.45,7.07,7.10,7.18
China,CHN,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.54,3.81,4.05,4.36,4.51,4.62,4.58,4.81,4.85,4.75,4.68,4.55,4.35,4.63,5.15,4.98,5.15,5.41
Cote d'Ivoire,CIV,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.36,6.92,7.55,7.98,6.91,6.46,5.24,4.72,5.14,5.58,5.66,6.03,6.55,6.45,6.76,6.87,6.78,7.06
Cameroon,CMR,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.86,5.17,4.64,4.42,4.43,4.45,4.67,4.83,4.93,4.63,4.88,4.77,4.71,4.98,5.10,5.26,5.36,5.13
"Congo, Rep.",COG,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.16,2.86,3.10,3.74,3.07,2.13,2.44,2.45,2.61,2.56,2.42,2.37,2.54,2.09,2.27,2.29,2.50,3.16
Colombia,COL,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.76,8.16,8.96,8.73,8.67,5.91,5.96,5.67,5.92,5.37,5.82,6.11,6.25,6.62,7.01,6.76,6.52,6.83
Comoros,COM,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.55,4.42,4.42,3.98,3.80,3.48,2.83,3.40,3.61,3.96,4.28,4.59,4.92,5.17,3.81,3.45,3.57,4.54
Cabo Verde,CPV,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.29,4.82,4.73,5.24,4.65,4.81,5.19,5.17,5.00,5.06,4.86,5.11,4.30,3.96,4.24,4.26,4.03,3.90
Costa Rica,CRI,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.51,6.65,6.35,7.10,6.83,7.08,7.11,8.03,8.09,7.80,7.74,7.82,8.37,9.01,9.69,9.65,10.19,10.13
Caribbean small states,CSS,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.13,5.25,5.40,5.07,4.94,5.14,5.15,5.30,5.27,5.42,5.25,5.13,5.41,5.40,6.22,5.81,5.88,6.03
Cuba,CUB,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.15,5.26,5.50,5.77,6.00,6.07,6.27,6.50,6.31,6.14,8.08,7.67,10.42,10.79,11.74,10.19,10.00,10.86
Cyprus,CYP,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.74,5.21,5.53,5.58,5.60,5.77,5.78,6.12,6.83,6.42,6.37,6.28,6.05,6.89,7.40,7.36,7.41,7.32
Czech Republic,CZE,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.69,6.41,6.40,6.42,6.35,6.31,6.42,6.80,7.13,6.90,6.93,6.69,6.52,6.82,7.95,7.41,7.47,7.66
Germany,DEU,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,10.11,10.42,10.27,10.29,10.36,10.40,10.50,10.72,10.92,10.67,10.81,10.64,10.48,10.70,11.75,11.55,11.33,11.28
Djibouti,DJI,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.56,3.55,4.60,5.45,6.22,5.75,5.37,5.45,6.22,6.76,7.21,7.05,7.72,8.05,8.29,8.78,8.68,8.81
Dominica,DMA,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.91,5.99,6.13,5.89,5.93,4.97,4.96,5.05,4.93,4.66,4.98,5.01,5.12,4.95,5.04,5.99,6.03,5.85
Denmark,DNK,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,8.13,8.21,8.15,8.16,8.95,8.70,9.10,9.33,9.51,9.67,9.77,9.92,9.99,10.18,11.47,11.08,10.87,11.19
Dominican Republic,DOM,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.53,5.34,5.65,5.84,5.93,6.35,6.20,6.30,6.48,5.11,5.27,5.21,4.97,5.27,5.44,5.46,5.36,5.42
Algeria,DZA,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.70,3.35,3.59,3.59,3.43,3.49,3.84,3.73,3.60,3.54,3.14,3.14,3.51,3.83,4.61,4.17,4.41,5.25
East Asia & Pacific (developing only),EAP,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.28,3.50,3.66,4.04,4.09,4.14,4.19,4.35,4.44,4.36,4.37,4.30,4.19,4.39,4.87,4.71,4.86,5.11
East Asia & Pacific (all income levels),EAS,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.98,5.99,5.94,6.26,6.45,6.55,6.61,6.58,6.70,6.66,6.68,6.53,6.34,6.52,7.08,6.95,7.04,7.12
Europe & Central Asia (developing only),ECA,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.91,5.01,5.32,4.73,5.34,5.32,5.56,5.85,6.12,6.07,6.08,6.08,6.08,6.10,6.65,6.62,6.14,6.20
Europe & Central Asia (all income levels),ECS,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,8.40,8.48,8.37,8.33,8.45,8.38,8.59,8.83,9.09,9.07,9.12,9.02,8.92,9.10,9.98,9.77,9.53,9.54
Ecuador,ECU,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.40,3.71,3.70,3.57,4.02,3.61,4.01,4.81,6.72,6.57,6.31,6.48,6.75,6.31,7.13,7.23,6.92,6.40
"Egypt, Arab Rep.",EGY,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.86,4.26,4.97,5.07,5.34,5.43,5.78,6.13,5.62,5.27,5.13,5.23,4.95,4.81,4.99,4.75,4.90,5.00
Euro area,EMU,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,9.07,9.14,9.04,9.03,9.07,9.09,9.22,9.43,9.75,9.79,9.96,9.88,9.77,10.06,10.83,10.76,10.58,10.65
Eritrea,ERI,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.51,3.65,4.20,4.29,4.67,4.53,3.92,4.00,3.23,2.95,2.83,3.23,3.29,3.40,3.13,3.15,2.69,2.60
Spain,ESP,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,7.44,7.46,7.33,7.32,7.32,7.21,7.24,7.25,8.16,8.22,8.29,8.39,8.49,8.94,9.62,9.61,9.30,9.62
Estonia,EST,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.32,6.57,6.19,5.56,5.65,5.27,4.86,4.85,4.92,5.11,5.01,4.99,5.10,5.96,6.77,6.28,5.84,5.94
Ethiopia,ETH,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,2.81,2.94,3.09,3.62,3.89,4.30,4.73,4.71,4.91,4.33,4.11,4.18,4.78,4.31,4.46,4.67,4.06,3.83
European Union,EUU,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,8.61,8.67,8.48,8.48,8.56,8.56,8.74,8.98,9.28,9.32,9.47,9.42,9.33,9.65,10.46,10.31,10.14,10.19
Finland,FIN,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,7.85,8.03,7.71,7.35,7.37,7.22,7.43,7.81,8.15,8.21,8.43,8.34,8.04,8.31,9.17,8.99,9.00,9.15
Fiji,FJI,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.11,3.27,3.53,3.19,3.15,3.87,3.28,3.48,3.35,3.61,3.61,3.84,3.74,3.61,4.24,4.18,3.80,3.99
France,FRA,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,10.36,10.38,10.25,10.15,10.15,10.08,10.21,10.56,10.83,10.97,11.02,10.95,10.88,11.02,11.73,11.68,11.63,11.75
"Micronesia, Fed. Sts.",FSM,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,9.13,8.60,7.76,6.96,7.56,7.83,8.48,7.87,9.52,10.36,12.12,11.92,12.00,12.93,13.39,13.85,13.73,12.79
Gabon,GAB,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.44,3.36,2.97,4.19,3.48,2.86,3.32,3.70,3.78,3.38,2.98,3.20,3.27,2.67,3.66,3.45,3.40,3.47
United Kingdom,GBR,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.75,6.79,6.56,6.63,6.88,7.02,7.31,7.63,7.83,8.03,8.27,8.43,8.50,8.95,9.91,9.55,9.42,9.44
Georgia,GEO,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.12,7.49,7.99,6.55,6.29,6.94,7.82,8.72,8.49,8.53,8.60,8.39,8.17,8.99,10.19,10.05,9.38,9.18
Ghana,GHA,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.30,5.10,5.32,5.22,5.06,4.81,5.57,4.75,4.85,6.14,7.02,5.35,6.01,5.59,5.12,5.29,5.27,5.17
Guinea,GIN,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.54,5.61,5.56,5.66,5.62,5.65,5.88,6.05,4.89,5.26,5.32,5.49,6.27,6.00,6.33,6.20,6.00,6.30
"Gambia, The",GMB,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.53,4.31,4.19,4.35,4.36,4.48,4.56,3.75,4.22,4.35,4.55,4.71,4.09,4.12,4.47,4.71,4.68,5.01
Guinea-Bissau,GNB,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.43,6.95,6.72,7.06,5.76,4.94,5.04,5.84,5.78,5.31,5.72,5.89,6.09,6.01,6.76,7.07,6.28,5.86
Equatorial Guinea,GNQ,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.89,4.68,4.17,5.24,2.48,2.36,1.54,1.83,1.95,2.13,1.61,2.30,2.36,3.37,5.63,4.30,4.48,4.74
Greece,GRC,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,8.59,8.55,8.44,8.37,8.62,7.88,8.80,9.10,8.93,8.68,9.66,9.75,9.81,10.13,10.04,9.38,8.99,9.27
Grenada,GRD,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.91,6.95,7.25,7.35,7.78,6.58,7.63,6.62,6.16,5.84,6.06,6.43,6.11,5.96,6.24,5.96,6.48,6.38
Guatemala,GTM,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.67,3.61,3.77,4.14,4.92,5.59,6.45,6.24,6.37,6.41,6.45,7.35,7.20,6.94,7.06,6.85,6.73,7.18
Guyana,GUY,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.07,4.95,5.15,5.27,4.68,5.85,5.82,5.80,5.56,5.34,5.35,4.14,3.92,6.64,6.36,6.55,6.80,6.56
High income,HIC,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,9.52,9.68,9.73,9.98,10.05,10.14,10.63,11.06,11.24,11.16,11.24,11.23,11.17,11.33,12.44,12.26,12.06,12.23
Honduras,HND,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.34,4.96,4.88,5.63,6.21,6.63,6.88,7.28,8.29,7.89,7.69,7.63,7.89,8.40,9.10,8.69,8.35,8.60
Heavily indebted poor countries (HIPC),HPC,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.78,4.96,4.91,5.11,5.17,5.14,5.19,5.34,5.48,5.56,5.70,5.87,6.10,6.21,6.47,6.37,6.26,6.27
Croatia,HRV,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.85,7.11,5.87,6.67,7.34,7.76,7.24,6.27,6.44,6.65,6.99,7.03,7.54,7.80,7.80,7.81,6.81,6.82
Haiti,HTI,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.60,6.45,6.20,5.99,5.65,6.06,5.63,5.47,5.32,5.61,4.41,5.70,5.42,5.47,6.46,6.70,8.53,6.44
Hungary,HUN,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,7.33,7.08,6.83,7.18,7.32,7.18,7.24,7.59,8.57,8.22,8.45,8.26,7.67,7.46,7.74,8.03,7.89,7.82
Indonesia,IDN,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,1.95,2.00,1.93,2.08,2.28,1.96,2.23,2.24,2.53,2.37,2.79,2.91,3.10,2.81,2.83,2.92,2.86,3.03
India,IND,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.01,3.89,4.24,4.29,4.04,4.27,4.50,4.40,4.29,4.50,4.25,4.03,3.88,3.93,3.93,3.69,3.92,4.05
Ireland,IRL,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.56,6.49,6.31,6.14,6.06,6.10,6.73,7.03,7.28,7.53,7.57,7.51,7.90,9.06,10.02,9.31,8.79,8.09
"Iran, Islamic Rep.",IRN,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.83,3.70,4.09,4.51,4.59,4.60,5.09,5.12,4.74,4.72,5.33,5.07,5.11,5.17,5.01,4.55,4.61,4.18
Iceland,ISL,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,8.21,8.16,8.10,8.91,9.63,9.50,9.34,10.15,10.57,10.01,9.61,9.37,9.31,9.29,9.74,9.43,9.17,9.06
Israel,ISR,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,7.39,7.48,7.73,7.59,7.32,7.38,7.91,7.79,7.72,7.62,7.70,7.44,7.50,7.56,7.58,7.58,7.56,7.51
Italy,ITA,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,7.06,7.16,7.43,7.49,7.57,7.87,8.06,8.19,8.17,8.50,8.74,8.84,8.50,8.89,9.40,9.41,9.23,9.17
Jamaica,JAM,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.09,4.68,5.97,5.07,4.68,5.47,5.10,4.86,4.56,4.80,4.07,4.22,4.87,5.40,5.15,5.28,5.20,5.93
Jordan,JOR,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,8.47,8.91,8.97,9.31,9.36,9.65,9.90,9.68,9.16,9.07,8.88,8.08,8.35,8.78,9.54,8.46,8.82,9.83
Japan,JPN,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.81,6.95,6.89,7.18,7.44,7.60,7.81,7.86,7.99,7.99,8.18,8.20,8.23,8.61,9.53,9.59,9.95,10.07
Kazakhstan,KAZ,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.62,4.34,4.67,4.83,4.38,4.16,3.47,3.61,3.70,3.95,4.07,3.94,3.42,3.87,4.48,4.28,3.92,4.18
Kenya,KEN,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.25,4.15,4.12,4.49,4.20,4.68,4.62,4.54,4.45,4.29,4.36,4.51,4.42,4.19,4.62,4.38,4.38,4.74
Kyrgyz Republic,KGZ,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.97,5.69,5.23,5.88,5.34,4.68,4.79,5.43,5.43,5.57,5.82,6.73,6.87,6.07,6.79,6.66,6.18,7.13
Cambodia,KHM,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.14,9.45,7.95,6.94,6.17,6.31,6.23,6.39,7.32,7.07,6.95,5.36,4.47,5.46,6.26,5.82,5.56,5.42
Kiribati,KIR,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,9.43,9.24,9.39,7.02,8.85,7.91,8.80,8.76,9.59,10.37,10.13,10.97,12.07,13.24,11.46,11.21,10.80,10.71
St. Kitts and Nevis,KNA,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.41,5.41,5.09,5.07,5.35,4.29,3.83,3.67,3.71,3.53,3.56,4.05,4.05,4.19,5.00,5.41,5.81,5.90
"Korea, Rep.",KOR,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.74,3.92,3.94,4.03,4.27,4.33,4.95,4.80,5.16,5.22,5.63,6.10,6.39,6.59,7.10,7.29,7.38,7.54
Kuwait,KWT,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.76,3.47,3.69,4.44,3.65,2.50,3.60,3.55,3.22,2.75,2.37,2.25,2.13,1.92,3.93,2.79,2.62,2.53
Latin America & Caribbean (developing only),LAC,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.30,6.31,6.37,6.38,6.64,6.46,6.58,6.28,6.39,6.44,6.84,6.96,7.14,7.16,7.71,7.63,7.53,7.69
Lao PDR,LAO,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.15,4.60,6.32,6.41,3.72,3.33,4.09,4.04,4.93,4.58,4.31,4.27,4.16,4.09,3.61,2.62,2.80,2.88
Lebanon,LBN,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,14.33,15.23,13.00,11.42,10.87,10.86,10.90,10.05,9.30,8.22,7.80,8.14,7.96,7.46,7.41,7.24,7.41,7.58
Libya,LBY,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.43,3.55,3.79,3.89,3.41,3.45,4.08,4.90,4.13,3.50,2.60,2.54,2.46,2.25,3.46,3.30,3.91,3.91
St. Lucia,LCA,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.75,5.49,4.96,5.14,5.54,5.59,6.23,6.41,6.19,6.29,6.33,6.52,6.83,7.45,8.06,7.77,7.59,8.48
Latin America & Caribbean (all income levels),LCN,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.40,6.40,6.41,6.46,6.71,6.54,6.65,6.35,6.42,6.45,6.82,6.92,7.09,7.13,7.70,7.60,7.51,7.67
Least developed countries: UN classification,LDC,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.33,4.37,4.21,4.31,4.27,4.23,4.49,4.62,4.81,4.90,4.87,5.20,5.13,5.26,5.58,5.31,5.22,5.21
Low income,LIC,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.37,4.41,4.14,4.22,4.23,4.34,4.47,4.70,4.79,4.86,5.06,5.40,5.42,5.23,5.53,5.50,5.40,5.32
Lower middle income,LMC,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.88,3.86,4.07,4.36,4.18,4.14,4.34,4.26,4.42,4.46,4.47,4.40,4.46,4.44,4.48,4.27,4.36,4.52
Low & middle income,LMY,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.92,4.96,5.13,5.25,5.32,5.25,5.35,5.24,5.33,5.34,5.44,5.40,5.36,5.43,5.78,5.64,5.62,5.76
Lesotho,LSO,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,7.46,7.50,6.72,6.85,6.76,6.92,7.53,6.91,7.13,6.96,6.30,7.11,8.47,8.85,9.77,10.77,11.73,11.55
Lithuania,LTU,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.37,5.58,5.74,6.08,6.20,6.46,6.26,6.40,6.49,5.67,5.83,6.20,6.22,6.60,7.54,7.05,6.69,6.65
Luxembourg,LUX,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.57,5.65,5.59,5.67,5.83,7.48,7.40,8.27,7.67,8.20,7.95,7.75,6.80,7.34,8.01,7.21,6.70,6.85
Latvia,LVA,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.76,6.10,6.20,6.12,6.39,6.00,6.17,6.29,6.15,6.51,6.37,6.80,7.01,6.63,6.84,6.49,6.01,5.99
Monaco,MCO,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.09,3.03,3.17,3.13,3.41,3.29,3.34,3.40,3.93,4.03,4.00,3.82,3.38,3.64,4.30,4.40,4.40,4.40
Moldova,MDA,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,9.05,10.27,9.45,7.69,5.89,6.65,7.11,8.07,8.33,8.49,9.15,10.63,10.88,11.41,12.49,11.68,11.36,11.72
Madagascar,MDG,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.16,4.50,4.74,4.50,4.49,5.01,5.05,5.17,4.84,4.86,4.90,4.97,5.01,4.33,4.52,4.49,4.11,4.11
