CountryName,CountryCode,Region
Spain,ESP,Europe & Central Asia
Estonia,EST,Europe & Central Asia
Ethiopia,ETH,Sub-Saharan Africa
European Union,EUU,
Finland,FIN,Europe & Central Asia
Fiji,FJI,East Asia & Pacific
France,FRA,Europe & Central Asia
Faeroe Islands,FRO,Europe & Central Asia
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific
Gabon,GAB,Sub-Saharan Africa
United Kingdom,GBR,Europe & Central Asia
Georgia,GEO,Europe & Central Asia
Ghana,GHA,Sub-Saharan Africa
Guinea,GIN,Sub-Saharan Africa
"Gambia, The",GMB,Sub-Saharan Africa
Guinea-Bissau,GNB,Sub-Saharan Africa
Equatorial Guinea,GNQ,Sub-Saharan Africa
Greece,GRC,Europe & Central Asia
Grenada,GRD,Latin America & Caribbean
Greenland,GRL,Europe & Central Asia
Guatemala,GTM,Latin America & Caribbean
Guam,GUM,East Asia & Pacific
Guyana,GUY,Latin America & Caribbean
High income,HIC,
"Hong Kong SAR, China",HKG,East Asia & Pacific
Honduras,HND,Latin America & Caribbean
Heavily indebted poor countries (HIPC),HPC,
Croatia,HRV,Europe & Central Asia
Haiti,HTI,Latin America & Caribbean
Hungary,HUN,Europe & Central Asia
Indonesia,IDN,East Asia & Pacific
Isle of Man,IMN,Europe & Central Asia
India,IND,South Asia
Ireland,IRL,Europe & Central Asia
"Iran, Islamic Rep.",IRN,Middle East & North Africa
Iraq,IRQ,Middle East & North Africa
Iceland,ISL,Europe & Central Asia
Israel,ISR,Middle East & North Africa
Italy,ITA,Europe & Central Asia
Jamaica,JAM,Latin America & Caribbean
Jordan,JOR,Middle East & North Africa
Japan,JPN,East Asia & Pacific
Kazakhstan,KAZ,Europe & Central Asia
Kenya,KEN,Sub-Saharan Africa
Kyrgyz Republic,KGZ,Europe & Central Asia
Cambodia,KHM,East Asia & Pacific
Kiribati,KIR,East Asia & Pacific
St. Kitts and Nevis,KNA,Latin America & Caribbean
"Korea, Rep.",KOR,East Asia & Pacific
Kosovo,KSV,Europe & Central Asia
Kuwait,KWT,Middle East & North Africa
Latin America & Caribbean,LAC,
Lao PDR,LAO,East Asia & Pacific
Lebanon,LBN,Middle East & North Africa
Liberia,LBR,Sub-Saharan Africa
Libya,LBY,Middle East & North Africa
St. Lucia,LCA,Latin America & Caribbean
Latin America & Caribbean (all income levels),LCN,
Least developed countries: UN classification,LDC,
Low income,LIC,
Liechtenstein,LIE,Europe & Central Asia
Sri Lanka,LKA,South Asia
Lower middle income,LMC,
Low & middle income,LMY,
Lesotho,LSO,Sub-Saharan Africa
Lithuania,LTU,Europe & Central Asia
Luxembourg,LUX,Europe & Central Asia
Latvia,LVA,Europe & Central Asia
"Macao SAR, China",MAC,East Asia & Pacific
St. Martin (French part),MAF,Latin America & Caribbean
Morocco,MAR,Middle East & North Africa
Monaco,MCO,Europe & Central Asia
Moldova,MDA,Europe & Central Asia
Madagascar,MDG,Sub-Saharan Africa
Maldives,MDV,South Asia
Middle East & North Africa (all income levels),MEA,
Mexico,MEX,Latin America & Caribbean
Marshall Islands,MHL,East Asia & Pacific
Middle income,MIC,
"Macedonia, FYR",MKD,Europe & Central Asia
Mali,MLI,Sub-Saharan Africa
Malta,MLT,Middle East & North Africa
Myanmar,MMR,East Asia & Pacific
Middle East & North Africa,MNA,
Montenegro,MNE,Europe & Central Asia
Mongolia,MNG,East Asia & Pacific
Northern Mariana Islands,MNP,East Asia & Pacific
Mozambique,MOZ,Sub-Saharan Africa
Mauritania,MRT,Sub-Saharan Africa
Mauritius,MUS,Sub-Saharan Africa
Malawi,MWI,Sub-Saharan Africa
Malaysia,MYS,East Asia & Pacific
North America,NAC,
Namibia,NAM,Sub-Saharan Africa
New Caledonia,NCL,East Asia & Pacific
Niger,NER,Sub-Saharan Africa
Nigeria,NGA,Sub-Saharan Africa
Nicaragua,NIC,Latin America & Caribbean
Netherlands,NLD,Europe & Central Asia
High income: nonOECD,NOC,
Norway,NOR,Europe & Central Asia
Nepal,NPL,South Asia
New Zealand,NZL,East Asia & Pacific
High income: OECD,OEC,
OECD members,OED,
Oman,OMN,Middle East & North Africa
Other small states,OSS,
Pakistan,PAK,South Asia
Panama,PAN,Latin America & Caribbean
Peru,PER,Latin America & Caribbean
Philippines,PHL,East Asia & Pacific
Palau,PLW,East Asia & Pacific
Papua New Guinea,PNG,East Asia & Pacific
Poland,POL,Europe & Central Asia
Puerto Rico,PRI,Latin America & Caribbean
"Korea, Dem. Rep.",PRK,East Asia & Pacific
Portugal,PRT,Europe & Central Asia
Paraguay,PRY,Latin America & Caribbean
West Bank and Gaza,PSE,Middle East & North Africa
Pacific island small states,PSS,
French Polynesia,PYF,East Asia & Pacific
Qatar,QAT,Middle East & North Africa
Romania,ROU,Europe & Central Asia
Russian Federation,RUS,Europe & Central Asia
Rwanda,RWA,Sub-Saharan Africa
South Asia,SAS,
Saudi Arabia,SAU,Middle East & North Africa
Sudan,SDN,Sub-Saharan Africa
Senegal,SEN,Sub-Saharan Africa
Singapore,SGP,East Asia & Pacific
Solomon Islands,SLB,East Asia & Pacific
Sierra Leone,SLE,Sub-Saharan Africa
El Salvador,SLV,Latin America & Caribbean
San Marino,SMR,Europe & Central Asia
Somalia,SOM,Sub-Saharan Africa
Serbia,SRB,Europe & Central Asia
Sub-Saharan Africa,SSA,
South Sudan,SSD,Sub-Saharan Africa
Sub-Saharan Africa (all income levels),SSF,
Small states,SST,
São Tomé and Principe,STP,Sub-Saharan Africa
Suriname,SUR,Latin America & Caribbean
Slovak Republic,SVK,Europe & Central Asia
Slovenia,SVN,Europe & Central Asia
Sweden,SWE,Europe & Central Asia
Swaziland,SWZ,Sub-Saharan Africa
Sint Maarten (Dutch part),SXM,Latin America & Caribbean
Seychelles,SYC,Sub-Saharan Africa
Syrian Arab Republic,SYR,Middle East & North Africa
Turks and Caicos Islands,TCA,Latin America & Caribbean
Chad,TCD,Sub-Saharan Africa
Togo,TGO,Sub-Saharan Africa
Thailand,THA,East Asia & Pacific
Tajikistan,TJK,Europe & Central Asia
Turkmenistan,TKM,Europe & Central Asia
Timor-Leste,TLS,East Asia & Pacific
Tonga,TON,East Asia & Pacific
Trinidad and Tobago,TTO,Latin America & Caribbean
Tunisia,TUN,Middle East & North Africa
Turkey,TUR,Europe & Central Asia
Tuvalu,TUV,East Asia & Pacific
Tanzania,TZA,Sub-Saharan Africa
Uganda,UGA,Sub-Saharan Africa
Ukraine,UKR,Europe & Central Asia
Upper middle income,UMC,
Uruguay,URY,Latin America & Caribbean
United States,USA,North America
Uzbekistan,UZB,Europe & Central Asia
St. Vincent and the Grenadines,VCT,Latin America & Caribbean
"Venezuela, RB",VEN,Latin America & Caribbean
Virgin Islands (U.S.),VIR,Latin America & Caribbean
Vietnam,VNM,East Asia & Pacific
Vanuatu,VUT,East Asia & Pacific
World,WLD,
Samoa,WSM,East Asia & Pacific
"Yemen, Rep.",YEM,Middle East & North Africa
South Africa,ZAF,Sub-Saharan Africa
Zambia,ZMB,Sub-Saharan Africa
Zimbabwe,ZWE,Sub-Saharan Africa
