Vendor Name , Budget Fiscal Year , Date , Vendor HQ State , Vendor HQ City , Government Area , Department Name , Department , Account , Account Name , Funding Type , Fund Name , Fund , Object Class , Object Code Name , Object Code , Statewide Contract Number , Amount Spent
ANDOVER SURGICAL ASSOC INC,2010,2009-08-28,MA,ANDOVER,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,16.8
MICHAEL H GU,2010,2009-09-18,MA,QUINCY,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,45
ALLAN E DUNN,2010,2009-10-13,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,106
SCOTT J CIPOLLA,2010,2009-10-30,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,50.92
BU MEDICAL CENTER UROLOGISTS,2010,2009-12-18,MA,BOSTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,273.46
CONTANT LAW OFFICES PC,2010,2009-11-10,MA,BOSTON,Judiciary,Committee for Public Counsel Service,CPC,03211510,"COMPENSATION OF PRIVATE COUNSEL,",Budgetary,General Fund,0010,RR,Public Counsel,R24,LEGISLATIVEXMPT,2617.5
CRAIG FREDERICKS,2010,2009-12-07,,,Judiciary,Committee for Public Counsel Service,CPC,03211520,INDIGENT PERSONS' FEES AND COURT COSTS,Budgetary,General Fund,0010,RR,Public Counsel,R24,LEGISLATIVEXMPT,2715
VERIZON NEW ENGLAND INC,2010,2009-11-23,NY,NEW YORK,Independents,Hampden Sheriff's Department,SDH,89100102,HAMPDEN COUNTY CORRECTIONS,Budgetary,General Fund,0010,UU,Telecommunications Services - Voice,U02,ITT09,542.09
"DUDLEY CHARLTON REGIONAL, SCHOOL DISTRICT",2010,2009-08-11,MA,DUDLEY,Education,Elementary and Secondary Education,DOE,70301002,KINDERGARTEN EXPANSION GRANTS,Budgetary,General Fund,0010,PP,Grants To Public Entities,P01,GRANT APPL,15482
BOB BARKER CO INC,2010,2009-11-27,NC,FUQUAY VARINA,Independents,Worcester Sheriff's Department,SDW,89100105,WORCESTER COUNTY CORRECTIONS,Budgetary,General Fund,0010,FF,Clothing & Footwear,F09,CLT06,1227.6
COSTCO WHOLESALE  CORPORATION,2010,2009-10-06,WA,ISSAQUAH,Health and Human Services,Department of Developmental Services,DMR,59202010,FOR STATE OPERATED COMMUNITY BASED,Budgetary,General Fund,0010,FF,Toiletries & Personal Supplies,F08,DMR HSESUP 2022,261.52
VIETNAMESE AMER CIVIC ASSOC,2010,2009-12-09,MA,DORCHESTER,Health and Human Services,Department of Public Health,DPH,45131111,Health Promotion and Disease Prevention,Budgetary,General Fund,0010,HH,Health and Safety Services,HH4,806514,4528.35
BANK OF AMERICA,2010,2009-09-28,NC,CHARLOTTE,Judiciary,Trial Court,TRC,03300300,ADMINISTRATIVE STAFF,Budgetary,General Fund,0010,EE,"Fees, Fines, Licenses, Permits & Chargebacks",E19,,4.84
A C MOORE INC,2010,2009-11-27,NJ,BLACKWOOD,Health and Human Services,Department of Public Health,DPH,45900912,WESTERN MASS HOSPITAL REIMBURSEMENTS,Budgetary,General Fund,0010,FF,"Recreation, Religious & Social Supplies & Materials",F18,,148.34
STEVEN W MACDONALD,2010,2009-07-23,,,Judiciary,Committee for Public Counsel Service,CPC,03211510,"COMPENSATION OF PRIVATE COUNSEL,",Budgetary,General Fund,0010,RR,Public Counsel,R24,LEGISLATIVEXMPT,162.5
WILLIAM C O'DONNELL DMD PC,2010,2009-07-17,MA,PITTSFIELD,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,14916
"BIRGHAM AND WOMENS, PHYSICIANS ORGANIZATION",2010,2009-07-20,MA,BOSTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40000880,MassHealth - Family Assistance,Budgetary,General Fund,0010,RR,Medicaid,R10,,174.76
"NORTHEAST HOSPITAL CORP, DBA BEVERLY HOSPITAL",2010,2009-08-03,MA,BEVERLY,Health and Human Services,Exec Office of Health & Human Services,EHS,40000875,CERVICAL/BREAST CANCER BENEFITS,Budgetary,General Fund,0010,RR,Medicaid,R10,,2365.14
TOWN OF FALMOUTH,2010,2009-08-10,MA,TEATICKET,Health and Human Services,Exec Office of Health & Human Services,EHS,40000870,MassHealth - Basic Expansion,Budgetary,General Fund,0010,RR,Medicaid,R10,,242.13
NEIGHBORHOOD DIABETES SHOPPE,2010,2009-09-08,MA,WAKEFIELD,Health and Human Services,Exec Office of Health & Human Services,EHS,40000870,MassHealth - Basic Expansion,Budgetary,General Fund,0010,RR,Medicaid,R10,,1582.9
DEDHAM OPHTHALMIC CONS & SURG PC,2010,2009-08-31,MA,DEDHAM,Health and Human Services,Exec Office of Health & Human Services,EHS,40001405,MassHealth - Essential Plan,Budgetary,General Fund,0010,RR,Medicaid,R10,,51.4
CLAIRE A BERGUS,2010,2009-09-21,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40001405,MassHealth - Essential Plan,Budgetary,General Fund,0010,RR,Medicaid,R10,,73.68
"ORTHOPEDIC CARE SPEC, INC.",2010,2009-10-02,MA,NORTH EASTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,704.27
JENNIFER LEE DMD,2010,2009-11-06,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000880,MassHealth - Family Assistance,Budgetary,General Fund,0010,RR,Medicaid,R10,,2016
ZUHAYR HEMADY,2010,2009-11-06,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,14.71
"CITY OF NEW BEDFORD, TREASURER",2010,2009-12-21,MA,NEW BEDFORD,Health and Human Services,Exec Office of Health & Human Services,EHS,40000880,MassHealth - Family Assistance,Budgetary,General Fund,0010,RR,Medicaid,R10,,245.06
COOPERATIVE ELDERSERVICES,2010,2009-12-28,MA,LEXINGTON,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,43272.8
CHICOPEE HOUSING AUTHORITY,2010,2009-11-02,MA,CHICOPEE,Housing and Economic Development,Dept of Housing & Community Development,OCD,70049005,FOR PAYMENTS TO HOUSING AUTHORITIES,Budgetary,General Fund,0010,PP,Subsidies,P02,OCDP02,300000
BECKET WOODS RD & MAINTENANCE DISTRICT,2010,2009-09-23,MA,BECKET,Public Safety and Security,Emergency Management Agency,CDA,88001813,FEMA 1813 DR December 2008 Ice Storm,Federal Grants,Federal Grants Fund,0100,PP,Grants To Non-Public Entities,PP1,GRANT,79456.77
VERIZON NEW ENGLAND INC,2010,2009-09-29,NY,NEW YORK,Administration and Finance,Information Technology Division,ITD,17900200,FOR THE COSTS OF COMPUTER RESOURCES,Other,Intragovernmental Services Fund,0015,UU,Telecommunications Services Data,U01,ITT09,149120.98
JACOB AYVAZIAN,2010,2009-10-16,,,Judiciary,Trial Court,TRC,03300300,ADMINISTRATIVE STAFF,Budgetary,General Fund,0010,JJ,Auxiliary Services,JJ2,LEG EXEMPT,528
WESTNET INC,2010,2009-11-10,MA,CANTON,Health and Human Services,Department of Youth Services,DYS,42000300,RESIDENTIAL SERVICES FOR COMMITTED,Budgetary,General Fund,0010,FF,Medical & Surgical Supplies,F06,HSP28,729.4
"SOUTH SHORE ARC INC, DAVID C CALHOUN",2010,2009-08-19,MA,NO WEYMOUTH,Health and Human Services,Department of Developmental Services,DMR,59202000,RESIDENTIAL AND DAY COMPONENT,Budgetary,General Fund,0010,MM,Purch.H&Ss For Clit.Med/Hc Rel,MM3,RES2690899,3798.24
JAY T THIEL,2010,2009-09-24,,,Judiciary,Committee for Public Counsel Service,CPC,03211510,"COMPENSATION OF PRIVATE COUNSEL,",Budgetary,General Fund,0010,RR,Public Counsel,R24,LEGISLATIVEXMPT,595
FREDERIC SCHWARTZ,2010,2009-08-07,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,224.17
"VICTORY DISTRIBUTIONS INC, ATTN DEREK WELCH",2010,2009-08-03,ME,SCARBOROUGH,Health and Human Services,Exec Office of Health & Human Services,EHS,40001405,MassHealth - Essential Plan,Budgetary,General Fund,0010,RR,Medicaid,R10,,569.84
DIANE M ENGLISH MD,2010,2009-08-07,MA,BRIGHTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40001405,MassHealth - Essential Plan,Budgetary,General Fund,0010,RR,Medicaid,R10,,794.27
PARK SURGICAL ASSOC INC,2010,2009-08-17,MA,BROCKTON,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,145.76
NANTUCKET ISLAND DRUG CORP,2010,2009-08-31,MA,NANTUCKET,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,722.75
LETOURNEAUS PHARMACY,2010,2009-08-17,MA,ANDOVER,Health and Human Services,Exec Office of Health & Human Services,EHS,40001405,MassHealth - Essential Plan,Budgetary,General Fund,0010,RR,Medicaid,R10,,11.82
SOUTHCOAST EYE CARE INC,2010,2009-09-04,MA,NORTH DARTMOUTH,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,107.14
"RADIO ASSOC OF GREATER NEW BED, ST LUKES HOSPITAL",2010,2009-09-08,MA,NEW BEDFORD,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,1341.51
ANES ASC OF TAUNTON INC,2010,2009-09-18,MA,TAUNTON,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,298.33
ANDREW J DADAGIAN MD INC,2010,2009-10-09,MA,MARION,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,177.48
"BOSTON UNIVERSITY NEUROLOGY, ASSOCIATES INC",2010,2009-09-28,MA,BOSTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40000870,MassHealth - Basic Expansion,Budgetary,General Fund,0010,RR,Medicaid,R10,,395.82
SUSAN M LAWLOR,2010,2009-10-26,MA,HAVERHILL,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,723.72
DONG LAN CORP,2010,2009-11-20,MA,DORCHESTER,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,394.74
HIKMAT J HANNAWI DMD PC,2010,2009-11-20,MA,ATTLEBORO,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,8736
RICHARD K YOST DDS PC,2010,2009-12-07,MA,READOING,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,1383
HABILITATION ASSIST CORP,2010,2009-12-14,MA,PLYMOUTH,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,88751.77
"HOLYOKE MEDICAL CENTER, INC., HOLYOKE MED CENTER",2010,2009-12-31,MA,HOLYOKE,Health and Human Services,Exec Office of Health & Human Services,EHS,40001405,MassHealth - Essential Plan,Budgetary,General Fund,0010,RR,Medicaid,R10,,36411.47
COMPREHENSIVE FAMILY MED CARE,2010,2009-09-04,MA,SPRINGFIELD,Health and Human Services,Mass Rehabilitation Commission,MRC,41200511,VOCATIONAL REHABILITATION-DETERMINATION,Federal Grants,Federal Grants Fund,0100,JJ,Legal Support Services,JJ1,RFR99-8990004,65
HAMPSHIRE ORTHOPEDICS INC,2010,2009-11-06,MA,NORTHAMPTON,Health and Human Services,Mass Rehabilitation Commission,MRC,41200511,VOCATIONAL REHABILITATION-DETERMINATION,Federal Grants,Federal Grants Fund,0100,JJ,Legal Support Services,JJ1,RFR99-8990004,45
"NORTHGATE MEDICAL P C, C/O JOSE AZOCAR",2010,2009-11-23,MA,SPRINGFIELD,Health and Human Services,Mass Rehabilitation Commission,MRC,41200511,VOCATIONAL REHABILITATION-DETERMINATION,Federal Grants,Federal Grants Fund,0100,JJ,Legal Support Services,JJ1,RFR99-8990004,170
"TOWN OF EASTON, TOWN HALL",2010,2009-09-04,MA,NORTH EASTON,Transportation,Highway Dept,DPW,60100001,HIGHWAYS DEPARTMENT PERSONNEL SERVICES,Budgetary,Highway Fund,0101,JJ,Law Enforcement,J28,59246,182.16
"COMMUNITY HEALTHLINK INC, CFO",2010,2009-10-22,MA,WORCESTER,Housing and Economic Development,Dept of Housing & Community Development,OCD,44000705,MCKINNEY EMERGENCY SHELTER GRANTS PROGRM,Federal Grants,Federal Grants Fund,0100,PP,Grants To Non-Public Entities,PP1,NOFA JUNE 2004,3958.6
HANDY HOUSE INC,2010,2009-08-03,MA,FOXBORO,Administration and Finance,Operational Services Division,OSD,17750600,RETAINED REVENUE STATE SURPLUS PERSONAL,Budgetary,General Fund,0010,NN,Non-Hazardous Waste Removal Services,N73,FAC39,282.15
VERIZON NEW ENGLAND INC,2010,2009-09-25,NY,NEW YORK,Public Safety and Security,Department of Police,POL,80001700,Public Safety Information Technology Costs,Budgetary,General Fund,0010,UU,Telecommunications Services - Voice,U02,ITT09,30446.93
"WEILSI ENTERPRISE INC, HOLIDAY INN TAUNTON",2010,2009-12-31,MA,TAUNTON,Labor and Workforce Development,Department of Labor,DOL,70026627,O.S.H.A. ONSITE CONSULTATION PROGRAM,Federal Grants,Federal Grants Fund,0100,EE,Temp Use Space/Confer-Incidental Includes Reservation Fees,E22,GRO21C,2208.69
BAY STATE GAS COMPANY,2010,2009-11-24,MA,WESTBOROUGH,Public Safety and Security,Department of Correction,DOC,89000001,ADMINISTRATION AND OPERATION OF THE,Budgetary,General Fund,0010,GG,Natural Gas,G11,,675.63
RICHARD E NEELY,2010,2009-09-10,,,Judiciary,Committee for Public Counsel Service,CPC,03211510,"COMPENSATION OF PRIVATE COUNSEL,",Budgetary,General Fund,0010,RR,Public Counsel,R24,LEGISLATIVEXMPT,345
UNITED VETERANS OF AMERICA,2010,2009-10-08,MA,LEEDS,Health and Human Services,Department of Veterans' Services,VET,14100250,ASSISTANCE TO HOMELESS VETERANS,Budgetary,General Fund,0010,MM,Purchased Human & Social Services For Clients/Non Medical,M03,EARMARKING,13750
PEOPLE INCORPORATED,2010,2009-08-10,MA,FALL RIVER,Health and Human Services,Exec Office of Health & Human Services,EHS,40000430,COMMONHEALTH SUPPLEMENTAL CARE FOR,Budgetary,General Fund,0010,RR,Medicaid,R10,,706.95
LGH WOMENHEALTH INC,2010,2009-07-27,MA,NORTH CHELMSFORD,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,297.88
MELISSA MEAD MD PC,2010,2009-09-08,MA,MILFORD,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,5192.79
CHELMSFORD FAMILY PRACTICE PC,2010,2009-09-04,MA,N CHELMSFORD,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,3901.81
BAYSTATE VASCULAR SERVINC,2010,2009-09-11,MA,SPRINGFIELD,Health and Human Services,Exec Office of Health & Human Services,EHS,40000875,CERVICAL/BREAST CANCER BENEFITS,Budgetary,General Fund,0010,RR,Medicaid,R10,,218.8
UMASS MEMORIAL MEDICAL CTR INC,2010,2009-10-02,MA,WORCESTER,Health and Human Services,Exec Office of Health & Human Services,EHS,40001405,MassHealth - Essential Plan,Budgetary,General Fund,0010,RR,Medicaid,R10,,266.54
PAUL E TESONE DDS INC,2010,2009-11-20,MA,EVERETT,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,308
SAMBATH KEO DMD INC,2010,2009-11-09,MA,LOWELL,Health and Human Services,Exec Office of Health & Human Services,EHS,40000880,MassHealth - Family Assistance,Budgetary,General Fund,0010,RR,Medicaid,R10,,664
"THE CARDIOVASCULAR, SPECIALISTS LLC",2010,2009-11-27,MA,HYANNIS,Health and Human Services,Exec Office of Health & Human Services,EHS,40000320,PRIOR YEAR COLLECTIONS FROM LIENS/ESTATE,Budgetary,General Fund,0010,RR,Medicaid,R10,,94.23
ANDREW S LIM,2010,2009-12-18,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,410.69
"PLAINVILLE PRESCRIP CENTER, J.M. STANLEY",2010,2009-12-31,MA,PLAINVILLE,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,5.74
PEDIATRIC SERVICES OF SPRINGFIELD INC,2010,2009-12-24,MA,E LONGMEADOW,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,379.85
DAVID J KINSLEY DMD PC,2010,2009-12-28,MA,SOUTH BOSTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40000870,MassHealth - Basic Expansion,Budgetary,General Fund,0010,RR,Medicaid,R10,,421
"DARTMOUTH PEDIATRICS PC, PEQUOD BLDG",2010,2009-12-24,MA,NORTH DARTMOUTH,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,4359.99
"BEVERLY SURGICAL ASSOCIATESINC, PARKHURST BLDG",2010,2009-09-22,MA,BEVERLY,Health and Human Services,Mass Rehabilitation Commission,MRC,41200511,VOCATIONAL REHABILITATION-DETERMINATION,Federal Grants,Federal Grants Fund,0100,JJ,Legal Support Services,JJ1,RFR99-8990004,40
PRIMARY CARE AFFILIATES INC,2010,2009-11-12,MA,BROCKTON,Health and Human Services,Mass Rehabilitation Commission,MRC,41200511,VOCATIONAL REHABILITATION-DETERMINATION,Federal Grants,Federal Grants Fund,0100,JJ,Legal Support Services,JJ1,RFR99-8990004,20
RICHARD A WESTGATE,2010,2009-12-23,,,Judiciary,Committee for Public Counsel Service,CPC,03211510,"COMPENSATION OF PRIVATE COUNSEL,",Budgetary,General Fund,0010,RR,Public Counsel,R24,LEGISLATIVEXMPT,400
TOWN OF NORTH ANDOVER,2010,2009-09-29,MA,NORTH ANDOVER,Education,Elementary and Secondary Education,DOE,70432001,TEACHER & PRINCIPAL TRAINING/RECRUITING,Federal Grants,Federal Grants Fund,0100,PP,Grants To Public Entities,P01,GRANT APPL,8180
MEGHAN REZAC,2010,2009-10-22,,,Education,Quinsigamond Community College,QCC,41200029,VOCATIONAL REHABILITATION TRUST FUNDS,Trusts,Expendable Trust Fund - External,0300,JJ,Auxiliary Services,JJ2,INP,180
VERIZON NEW ENGLAND INC,2010,2009-11-03,NY,NEW YORK,Independents,Mass Commission Against Discrimination,CAD,09400100,Mass Commission Against Discrimination Administration,Budgetary,General Fund,0010,UU,Telecommunications Services Data,U01,ITT09,824.98
"BOSTON EDISON CO, NSTAR ELECTRIC",2010,2009-12-17,MA,BOSTON,Health and Human Services,Mass Rehabilitation Commission,MRC,41200020,VOCATIONAL REHABILITATION,Federal Grants,Federal Grants Fund,0100,GG,Electricity,G03,,889.92
COMMONWEALTH SURGICAL ASSOC,2010,2009-07-10,MA,STONEHAM,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,4.49
MATTHEW J KAIM,2010,2009-07-17,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,55.66
GLYNN ORTHOPEDIC SERV INC,2010,2009-07-27,MA,PEMBROKE,Health and Human Services,Exec Office of Health & Human Services,EHS,40000430,COMMONHEALTH SUPPLEMENTAL CARE FOR,Budgetary,General Fund,0010,RR,Medicaid,R10,,3.17
