Year,Country,Male,Female
2000,Oman,71,75
2000,Pakistan,62,64
2000,Palau,68,71
2000,Panama,74,79
2000,Papua New Guinea,56,61
2000,Paraguay,71,77
2000,Peru,70,74
2000,Philippines,66,73
2000,Poland,70,78
2000,Portugal,73,80
2000,Qatar,77,76
2000,Republic of Korea,73,80
2000,Republic of Moldova,64,71
2000,Romania,68,75
2000,Russian Federation,59,72
2000,Rwanda,46,47
2000,Saint Kitts and Nevis,68,74
2000,Saint Lucia,71,77
2000,Saint Vincent and the Grenadines,67,73
2000,Samoa,67,74
2000,San Marino,78,85
2000,Sao Tome and Principe,61,65
2000,Saudi Arabia,71,75
2000,Senegal,56,59
2000,Serbia,69,75
2000,Seychelles,67,77
2000,Sierra Leone,38,39
2000,Singapore,76,81
2000,Slovakia,69,77
2000,Slovenia,72,80
2000,Solomon Islands,64,67
2000,Somalia,49,52
2000,South Africa,55,62
2000,South Sudan,47,50
2000,Spain,76,83
2000,Sri Lanka,65,75
2000,Sudan,57,60
2000,Suriname,71,77
2000,Swaziland,48,49
2000,Sweden,78,82
2000,Switzerland,77,83
2000,Syrian Arab Republic,72,75
2000,Tajikistan,63,65
2000,Thailand,66,75
2000,The former Yugoslav Republic of Macedonia,71,76
2000,Timor-Leste,58,60
2000,Togo,54,56
2000,Tonga,68,71
2000,Trinidad and Tobago,66,73
2000,Tunisia,71,75
2000,Turkey,67,74
2000,Turkmenistan,58,65
2000,Tuvalu,62,66
2000,Uganda,44,46
2000,Ukraine,62,73
2000,United Arab Emirates,73,75
2000,United Kingdom,76,80
2000,United Republic of Tanzania,50,51
2000,United States,74,80
2000,Uruguay,71,79
2000,Uzbekistan,63,69
2000,Vanuatu,67,71
2000,Venezuela (Bolivarian Republic of),71,77
2000,Viet Nam,69,78
2000,Yemen,59,62
2000,Zambia,40,43
2000,Zimbabwe,42,42
2012,Afghanistan,58,61
2012,Albania,73,75
2012,Algeria,70,73
2012,Andorra,79,86
2012,Angola,50,52
2012,Antigua and Barbuda,73,77
2012,Argentina,73,79
2012,Armenia,67,75
2012,Australia,81,85
2012,Austria,78,83
2012,Azerbaijan,69,75
2012,Bahamas,72,78
2012,Bahrain,76,78
2012,Bangladesh,69,71
2012,Barbados,75,81
2012,Belarus,67,78
2012,Belgium,78,83
2012,Belize,72,78
2012,Benin,57,60
2012,Bhutan,68,69
2012,Bolivia (Plurinational State of),65,70
2012,Bosnia and Herzegovina,75,80
2012,Botswana,61,63
2012,Brazil,70,77
2012,Brunei Darussalam,76,78
2012,Bulgaria,71,78
2012,Burkina Faso,57,59
2012,Burundi,54,57
2012,C?te d'Ivoire,52,54
2012,Cabo Verde,71,78
2012,Cambodia,70,75
2012,Cameroon,55,57
2012,Canada,80,84
2012,Central African Republic,50,52
2012,Chad,50,52
2012,Chile,77,83
2012,China,74,77
2012,Colombia,76,83
2012,Comoros,60,63
2012,Congo,57,60
2012,Cook Islands,73,78
2012,Costa Rica,77,81
2012,Croatia,74,81
2012,Cuba,76,81
2012,Cyprus,80,84
2012,Czech Republic,75,81
2012,Democratic People's Republic of Korea,66,73
2012,Democratic Republic of the Congo,50,53
2012,Denmark,78,82
2012,Djibouti,60,63
2012,Dominica,72,77
2012,Dominican Republic,76,78
2012,Ecuador,73,78
2012,Egypt,69,74
2012,El Salvador,68,77
2012,Equatorial Guinea,54,57
2012,Eritrea,61,66
2012,Estonia,71,81
2012,Ethiopia,62,65
2012,Fiji,67,73
2012,Finland,78,84
2012,France,79,85
2012,Gabon,62,64
2012,Gambia,59,63
2012,Georgia,70,78
2012,Germany,78,83
2012,Ghana,61,64
2012,Greece,78,83
2012,Grenada,69,77
2012,Guatemala,68,75
2012,Guinea,57,59
2012,Guinea-Bissau,53,56
2012,Guyana,60,67
2012,Haiti,61,64
2012,Honduras,72,77
2012,Hungary,71,79
2012,Iceland,81,84
2012,India,64,68
2012,Indonesia,69,73
2012,Iran (Islamic Republic of),72,76
2012,Iraq,66,74
2012,Ireland,79,83
2012,Israel,80,84
2012,Italy,80,85
2012,Jamaica,72,77
2012,Japan,80,87
2012,Jordan,72,75
2012,Kazakhstan,63,72
2012,Kenya,59,62
2012,Kiribati,64,69
2012,Kuwait,78,79
2012,Kyrgyzstan,66,73
2012,Lao People's Democratic Republic,64,67
2012,Latvia,69,79
2012,Lebanon,78,82
2012,Lesotho,49,52
2012,Liberia,60,63
2012,Libya,73,77
2012,Lithuania,68,80
2012,Luxembourg,80,84
2012,Madagascar,62,65
2012,Malawi,58,60
2012,Malaysia,72,76
2012,Maldives,76,78
2012,Mali,57,57
2012,Malta,79,83
2012,Marshall Islands,68,72
2012,Mauritania,61,65
2012,Mauritius,70,78
2012,Mexico,73,79
2012,Micronesia (Federated States of),68,70
2012,Monaco,79,86
2012,Mongolia,64,72
2012,Montenegro,73,78
2012,Morocco,69,73
2012,Mozambique,52,54
2012,Myanmar,64,68
2012,Namibia,64,69
2012,Nauru,75,83
2012,Nepal,67,69
2012,Netherlands,79,83
2012,New Zealand,80,84
2012,Nicaragua,70,76
2012,Niger,59,59
2012,Nigeria,53,55
2012,Niue,72,78
2012,Norway,80,84
2012,Oman,74,78
2012,Pakistan,64,66
2012,Palau,71,75
2012,Panama,74,80
2012,Papua New Guinea,60,65
2012,Paraguay,72,78
2012,Peru,75,79
2012,Philippines,65,72
2012,Poland,73,81
2012,Portugal,77,84
2012,Qatar,79,80
2012,Republic of Korea,78,85
2012,Republic of Moldova,66,75
2012,Romania,71,78
2012,Russian Federation,63,75
2012,Rwanda,63,66
2012,Saint Kitts and Nevis,71,78
2012,Saint Lucia,71,79
2012,Saint Vincent and the Grenadines,72,76
2012,Samoa,70,77
2012,San Marino,82,84
2012,Sao Tome and Principe,65,69
2012,Saudi Arabia,74,78
2012,Senegal,63,66
2012,Serbia,72,77
2012,Seychelles,69,78
2012,Sierra Leone,45,46
2012,Singapore,80,85
2012,Slovakia,72,80
2012,Slovenia,77,83
2012,Solomon Islands,67,70
2012,Somalia,51,55
2012,South Africa,56,62
2012,South Sudan,54,56
2012,Spain,79,85
2012,Sri Lanka,71,78
2012,Sudan,61,65
2012,Suriname,75,80
2012,Swaziland,52,55
2012,Sweden,80,84
2012,Switzerland,81,85
2012,Syrian Arab Republic,62,76
2012,Tajikistan,67,69
2012,Thailand,71,79
2012,The former Yugoslav Republic of Macedonia,73,78
2012,Timor-Leste,65,68
2012,Togo,57,59
2012,Tonga,74,69
2012,Trinidad and Tobago,67,74
2012,Tunisia,74,78
2012,Turkey,72,78
2012,Turkmenistan,60,67
2012,Tuvalu,66,70
2012,Uganda,56,58
2012,Ukraine,66,76
2012,United Arab Emirates,76,78
2012,United Kingdom,79,83
2012,United Republic of Tanzania,59,63
2012,United States,76,81
2012,Uruguay,73,81
2012,Uzbekistan,67,72
2012,Vanuatu,70,74
2012,Venezuela (Bolivarian Republic of),72,80
2012,Viet Nam,71,80
2012,Yemen,62,65
2012,Zambia,55,58
2012,Zimbabwe,56,60
