"Treatment_ID","Treatment_Description"
207,"RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS"
101,"SEIZURES W/O MCC"
870,"SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS"
871,"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC"
872,"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC"
948,"SIGNS & SYMPTOMS W/O MCC"
194,"SIMPLE PNEUMONIA & PLEURISY W CC"
193,"SIMPLE PNEUMONIA & PLEURISY W MCC"
195,"SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC"
460,"SPINAL FUSION EXCEPT CERVICAL W/O MCC"
312,"SYNCOPE & COLLAPSE"
69,"TRANSIENT ISCHEMIA"
